弹幕出现时间,弹幕格式,弹幕字体,弹幕颜色,弹幕时间戳,弹幕池,用户ID,rowID,未知信息,弹幕信息,分词结果
1053.93300,1,25,15138834,Tue Mar  7 15:25:48 2023,0,24cb94af,1267373952175570688	,8,这是二十多年前的事情，不要说当下。当下最重要的就是慢一点再慢一点停下来等等跟不上的灵魂,这是 二十多年 前 事情 ， 说 当下 。 当下 最 慢 一点 再慢 一点 停下来 跟不上 灵魂
1043.22400,1,25,16777215,Tue Mar  7 14:55:25 2023,0,4349d1e,1267358664054880512	,8,那就变成科幻剧了,科幻 剧
225.12300,1,25,16777215,Tue Mar  7 14:10:11 2023,0,12fe5c29,1267335897188553472	,8,旋转门！！！！,旋转门 ！ ！ ！ ！
1044.09700,1,25,16777215,Tue Mar  7 13:52:27 2023,0,6eca8795,1267326967800510464	,8,科幻剧是吧,科幻 剧是
1106.40800,1,25,16777215,Tue Mar  7 12:24:10 2023,0,ff39709e,1267282535273391104	,8,这个演员好像柳传志啊,演员 好像 柳传志
619.86500,1,25,16777215,Tue Mar  7 12:23:32 2023,0,a0865c69,1267282215381843712	,8,可以拉黑了,拉 黑
420.41300,1,25,16777215,Tue Mar  7 12:12:32 2023,0,ff39709e,1267276675696370688	,8,保利,保利
633.28200,1,25,16777215,Tue Mar  7 10:16:51 2023,0,66b2bd5a,1267218453027512320	,8,笑的人 在哪高就,笑 人 高
23.84700,1,25,16777215,Mon Mar  6 23:22:42 2023,0,2b3acab9,1266889205313841920	,8,亿万！,亿万 ！
801.38300,1,25,16777215,Mon Mar  6 21:37:35 2023,0,d34f21dc,1266836303958297856	,8,能落得善终的，大多都财产转移去美国了,落得 善终 ， 大多 都 财产 转移 去 美国
16.01300,1,25,16777215,Mon Mar  6 21:33:23 2023,0,f60b1ea6,1266834186665446400	,8,沉默的真相比这个好,沉默 真 相比 好
608.09100,1,25,16777215,Mon Mar  6 20:08:38 2023,0,d92abe27,1266791534368429056	,8,哈哈,
999.91200,1,25,15138834,Mon Mar  6 18:45:20 2023,0,ee1b6f8b,1266749608223087360	,8,风浪越大 鱼越贵,风浪 越大 鱼越 贵
317.37400,1,25,16777215,Mon Mar  6 18:33:04 2023,0,ee1b6f8b,1266743435256163328	,8,一将功成万骨枯,一将 功成 万骨 枯
608.74900,5,25,15138834,Mon Mar  6 17:19:51 2023,0,c8e6aa19,1266706583304455936	,8,弹幕里有人已经开始发癫了,弹幕 里 有人 发癫
149.65100,1,25,16777215,Mon Mar  6 13:25:01 2023,0,7ade6f01,1266588382675576320	,8,能洗白的才是强者,洗白 才 强者
382.65400,1,25,16777215,Sun Mar  5 21:52:38 2023,0,94afdfb0,1266119097176201728	,8,南北战争说是解放黑奴，本质上是解放工业化所需要的劳动力，是新工业生产力对旧种植生产力的清算,南北战争 说 解放 黑奴 ， 本质 上 解放 工业化 劳动力 ， 新 工业 生产力 旧 种植 生产力 清算
